[2024-11-14 13:30:38.360] [CWINST_LOGGER] [info] 设置日志格式。
[2024-11-14 13:30:38] [info] [12472] 初始化日志系统完成！
[2024-11-14 13:30:38] [info] [12472] 环境没有imdisk，临时安装。
[2024-11-14 13:30:46] [info] [12472] 创建窗口...
[2024-11-14 13:30:46] [info] [12472] 尝试挂载临时盘符
[2024-11-14 13:30:46] [info] [12472] 创建窗口完成！
[2024-11-14 13:31:02] [info] [12472] 尝试打开文件，格式为Ghost映像文件(*.gho/*.iso)
[2024-11-14 13:31:04] [info] [12472] 选择的文件是E:\thunder\cn_office_professional_plus_2019_x86_x64_dvd_5e5be643.iso
[2024-11-14 13:31:04] [info] [6944] 开始挂载盘符。
[2024-11-14 13:31:06] [error] [6944] ISO里没有任何的WIM/ESD/GHO/映像文件夹文件。
[2024-11-14 13:31:09] [info] [12472] 尝试打开文件，格式为Windows映像文件(*.wim/*.esd/*.swm/*.iso)
[2024-11-14 13:31:10] [info] [12472] 选择的文件是E:\thunder\cn_office_professional_plus_2019_x86_x64_dvd_5e5be643.iso
[2024-11-14 13:31:10] [info] [7580] 开始挂载盘符。
[2024-11-14 13:31:12] [error] [7580] ISO里没有任何的WIM/ESD/GHO/映像文件夹文件。
[2024-11-14 13:31:15] [info] [12472] 退出程序...
[2024-11-14 13:31:15] [info] [12472] 删除临时盘符Z:
[2024-11-14 13:31:24] [info] [12472] 环境没有imdisk，卸载临时安装的imdisk。
